Depart,Arrivee,Distance
ASF,KZN,1040433.11166
ASF,MRV,448167.760485
CEK,KZN,770508.492505
CEK,OVB,1338625.49132
DME,KZN,715665.247504
DME,NBC,892766.696699
DME,TGK,
DME,UUA,951444.413979
EGO,KGD,1171881.10638
EGO,KZN,1008253.65912
GYD,NBC,1660363.23102
KGD,EGO,1171881.10638
KZN,AER,1506822.657
KZN,ASF,1040433.11166
KZN,CEK,770508.492505
KZN,DME,715665.247504
KZN,EGO,1008253.65912
KZN,LED,1216846.48503
KZN,SVX,723523.829319
LED,KZN,1216846.48503
LED,NBC,1383380.50181
LED,UUA,1464056.52767
MRV,ASF,448167.760485
NBC,DME,892766.696699
NBC,GYD,1660363.23102
NBC,LED,1383380.50181
NBC,SVX,564553.641416
NJC,SVX,1012600.72779
NJC,UUA,1557172.02962
NUX,SVX,1315791.77763
OVB,CEK,1338625.49132
OVB,SVX,1370291.92531
SVX,KZN,723523.829319
SVX,NBC,564553.641416
SVX,NJC,1012600.72779
SVX,NUX,1315791.77763
SVX,OVB,1370291.92531
TGK,DME,
UUA,DME,951444.413979
UUA,LED,1464056.52767
UUA,NJC,1557172.02962
BTK,IKT,488323.88119
BTK,OVB,1199382.00877
CEK,OVB,1338625.49132
HTA,IKT,608614.287066
IKT,BTK,488323.88119
IKT,HTA,608614.287066
IKT,KCK,
IKT,ODO,852142.208885
IKT,OVB,1458824.83594
IKT,UKX,516607.946536
IKT,ULK,1134710.50976
IKT,YKS,1859996.5719
KCK,IKT,
MJZ,OVB,1967484.88416
ODO,IKT,852142.208885
OVB,BTK,1199382.00877
OVB,CEK,1338625.49132
OVB,IKT,1458824.83594
UKX,IKT,516607.946536
ULK,IKT,1134710.50976
YKS,IKT,1859996.5719
AYP,LIM,339981.432591
CUZ,LIM,585912.187165
CUZ,PEM,310932.145879
HUU,LIM,258155.72408
IQT,PCL,529550.61388
IQT,TPP,454862.075265
LIM,AYP,339981.432591
LIM,CUZ,585912.187165
LIM,HUU,258155.72408
LIM,PCL,491343.493752
LIM,TPP,618400.71448
PCL,IQT,529550.61388
PCL,LIM,491343.493752
PCL,TPP,287294.358544
PEM,CUZ,310932.145879
TPP,IQT,454862.075265
TPP,LIM,618400.71448
TPP,PCL,287294.358544
ABJ,BOY,657411.066318
ABJ,OUA,831929.304669
ACC,OUA,764743.288347
BKO,ABJ,921401.542445
BKO,DKR,1059574.05652
BKO,OUA,699275.529168
BOY,ABJ,657411.066318
BOY,OUA,334281.345625
COO,LFW,126687.753193
COO,OUA,791911.148592
DKR,BKO,1059574.05652
DKR,OUA,1747040.9413
LFW,OUA,751993.41731
NIM,OUA,419758.36475
OUA,ABJ,831929.304669
OUA,ACC,764743.288347
OUA,BKO,699275.529168
OUA,BOY,334281.345625
OUA,COO,791911.148592
OUA,DKR,1747040.9413
OUA,LFW,751993.41731
OUA,NIM,419758.36475
BOG,GYE,993930.742381
BOG,UIO,722832.062633
CLO,GYE,743836.884721
GYE,BOG,993930.742381
GYE,CLO,743836.884721
GYE,SCY,1090801.24584
GYE,UIO,272628.676061
OCC,UIO,170732.82118
SCY,GYE,1090801.24584
UIO,BOG,722832.062633
UIO,GYE,272628.676061
UIO,OCC,170732.82118
BDS,ZRH,1064741.7645
BOD,ZRH,770969.132858
BRS,ZRH,922757.969546
GVA,LPA,2771112.63351
LCA,ZRH,2505171.31252
LPA,ZRH,3001178.22632
RMF,ZRH,3337442.8081
TFS,GVA,2832341.4589
ZRH,BDS,1064741.7645
ZRH,BOD,770969.132858
ZRH,BRS,922757.969546
ZRH,LCA,2505171.31252
ZRH,LPA,3001178.22632
ZRH,RMF,3337442.8081
AJR,LYC,118854.547668
ARN,GEV,843972.139931
ARN,HAD,444479.537277
ARN,JKG,306208.123946
ARN,KRF,377774.682547
ARN,KSD,259147.704195
ARN,LYC,546020.517355
ARN,MHQ,122180.962041
ARN,OER,421519.886485
ARN,POR,292321.053045
ARN,TRF,436157.553178
ARN,VBY,222560.202452
ARN,VHM,550750.045466
ARN,VXO,355490.780789
GEV,ARN,843972.139931
GEV,KRF,475837.400813
HAD,ARN,444479.537277
HAD,JKG,140390.009044
HAD,VXO,119099.791109
HMV,VHM,159007.261919
JKG,ARN,306208.123946
JKG,HAD,140390.009044
KOK,POR,260465.643108
KRF,ARN,377774.682547
KRF,GEV,475837.400813
KSD,ARN,259147.704195
LYC,AJR,118854.547668
LYC,ARN,546020.517355
MHQ,ARN,122180.962041
MHQ,TKU,137293.327471
OER,ARN,421519.886485
OSL,VXO,419445.305707
POR,ARN,292321.053045
POR,KOK,260465.643108
TKU,MHQ,137293.327471
TRF,ARN,436157.553178
VBY,ARN,222560.202452
VHM,ARN,550750.045466
VHM,HMV,159007.261919
VXO,ARN,355490.780789
VXO,OSL,419445.305707
ADQ,AOS,84583.2106395
ADQ,KKB,49558.382236
ADQ,KLN,91422.4201268
ADQ,KOZ,19230.6387284
ADQ,OLH,75157.5624462
AOS,KZB,9571.25556046
KKB,SYB,8050.95628491
KLN,KYK,28478.6806744
KOZ,ORI,20842.3588695
SYB,KPR,36272.0333568
BSO,MNL,668589.357461
BXU,MNL,785655.654349
CBO,MNL,887661.510022
CGY,MNL,782342.71936
CRM,MNL,450125.426768
DGT,MNL,626616.133052
DWC,MNL,6937576.86682
GES,MNL,1041714.40881
KLO,MNL,347210.400996
LGP,MNL,330531.952357
MNL,BSO,668589.357461
MNL,BXU,785655.654349
MNL,CBO,887661.510022
MNL,CGY,782342.71936
MNL,CRM,450125.426768
MNL,DGT,626616.133052
MNL,DWC,6937576.86682
MNL,GES,1041714.40881
MNL,KLO,347210.400996
MNL,LGP,330531.952357
MNL,MPH,304903.363254
MNL,OZC,768116.893748
MNL,PPS,584196.488393
MNL,RXS,374120.308568
MNL,SUG,716932.419592
MNL,TUG,356196.489001
MNL,ZAM,851156.863426
MPH,MNL,304903.363254
OZC,MNL,768116.893748
PPS,MNL,584196.488393
RXS,MNL,374120.308568
SUG,MNL,716932.419592
TUG,MNL,356196.489001
ZAM,MNL,851156.863426
AUX,PMW,335293.212434
BRA,BSB,525859.437861
BRA,SSA,729784.069596
BSB,BRA,525859.437861
BSB,OPS,938687.042901
BSB,RAO,585424.312453
CAC,GRU,733947.132022
CGB,GYN,744528.723908
CGB,OPS,422875.607942
CGR,DOU,195320.667801
DOU,CGR,195320.667801
DOU,GRU,864775.820958
GIG,RAO,502892.297641
GRU,CAC,733947.132022
GRU,DOU,864775.820958
GRU,RAO,288625.759898
GRU,UBA,436067.422115
GRU,UDI,537607.904238
GRU,VDC,1119759.35043
GYN,CGB,744528.723908
GYN,PMW,716741.641954
GYN,RAO,523220.215303
GYN,UDI,271554.727815
OPS,BSB,938687.042901
OPS,CGB,422875.607942
PLU,RAO,423016.359019
PMW,AUX,335293.212434
PMW,GYN,716741.641954
RAO,BSB,585424.312453
RAO,GIG,502892.297641
RAO,GRU,288625.759898
RAO,GYN,523220.215303
RAO,PLU,423016.359019
RAO,SJP,173117.688192
RAO,UDI,254739.147673
SJP,RAO,173117.688192
SSA,BRA,729784.069596
SSA,VDC,348993.981957
UBA,GRU,436067.422115
UBA,UDI,101837.421932
UDI,GRU,537607.904238
UDI,GYN,271554.727815
UDI,RAO,254739.147673
UDI,UBA,101837.421932
VDC,GRU,1119759.35043
VDC,SSA,348993.981957
BRL,ORD,299760.123333
BRL,STL,235258.31326
DEC,ORD,251704.784184
DEC,STL,177021.786229
JBR,STL,325274.093396
ORD,BRL,299760.123333
ORD,DEC,251704.784184
STL,BRL,235258.31326
STL,DEC,177021.786229
STL,JBR,325274.093396
CGA,HYL,31613.0031355
CGA,KTN,91538.3930265
HYL,CGA,31613.0031355
HYL,KTB,23957.9438694
HYL,KTN,60490.1251249
KTB,HYL,23957.9438694
KTB,KTN,63640.3085847
KTN,CGA,91538.3930265
KTN,HYL,60490.1251249
KTN,KTB,63640.3085847
KTN,MTM,26397.9140844
MTM,KTN,26397.9140844
ACC,DKR,2148779.20777
ACC,LOS,400511.002592
ACC,ROB,1129788.14462
BCN,BJL,3599886.35525
BJL,BCN,3599886.35525
BJL,DKR,180184.00589
BJL,FNA,646471.828651
CKY,OXB,340849.835314
DKR,ACC,2148779.20777
DKR,BJL,180184.00589
DKR,DLA,3209824.1798
DKR,FNA,825872.806431
DKR,LOS,2446229.8872
DKR,OXB,373561.517616
DLA,DKR,3209824.1798
DLA,LOS,763889.898979
FNA,BJL,646471.828651
FNA,DKR,825872.806431
FNA,LGW,4877374.38496
FNA,ROB,409593.981451
LGW,FNA,4877374.38496
LOS,ACC,400511.002592
LOS,DKR,2446229.8872
LOS,DLA,763889.898979
LOS,ROB,1512468.53437
OXB,CKY,340849.835314
OXB,DKR,373561.517616
ROB,ACC,1129788.14462
ROB,FNA,409593.981451
ROB,LOS,1512468.53437
AKV,YIK,178158.434888
AKV,YPX,97609.2038818
XGR,YVP,157438.344934
YGL,YGW,184250.32787
YGL,YPX,714910.064934
YGL,YUL,950395.080585
YGW,YGL,184250.32787
YGW,YPH,355215.700028
YGW,YSK,167402.139195
YGW,YUD,159648.760484
YGW,YUL,1127197.82577
YGW,YUY,790209.295944
YIK,AKV,178158.434888
YIK,YZG,119676.554069
YKG,YPJ,84269.5476493
YKG,YQC,115233.119681
YKG,YVP,232763.653873
YKL,YQB,947168.95965
YKL,YVP,379222.447449
YKL,YWK,209453.098975
YKL,YZV,510792.159707
YPH,YPX,181191.062721
YPH,YUD,234509.941212
YPH,YVP,565154.859097
YPJ,YKG,84269.5476493
YPJ,YTQ,72846.17988
YPJ,YVP,149703.484839
YPX,AKV,97609.2038818
YPX,YGL,714910.064934
YPX,YPH,181191.062721
YPX,YVP,550443.812069
YQB,YKL,947168.95965
YQB,YUL,232974.399037
YQC,YKG,115233.119681
YQC,YWB,137303.117486
YSK,YGW,167402.139195
YSK,YUD,167274.901171
YTQ,YPJ,72846.17988
YTQ,YVP,109467.433612
YUD,YGW,159648.760484
YUD,YPH,234509.941212
YUD,YSK,167274.901171
YUL,YGL,950395.080585
YUL,YGW,1127197.82577
YUL,YQB,232974.399037
YUL,YUY,492465.404522
YUY,YGW,790209.295944
YUY,YUL,492465.404522
YVP,XGR,157438.344934
YVP,YGW,649689.712606
YVP,YKG,232763.653873
YVP,YKL,379222.447449
YVP,YPH,565154.859097
YVP,YPJ,149703.484839
YVP,YPX,550443.812069
YVP,YTQ,109467.433612
YWB,YQC,137303.117486
YWB,YZG,206552.1075
YWK,YKL,209453.098975
YWK,YZV,302909.799548
YZG,YIK,119676.554069
YZG,YWB,206552.1075
YZV,YKL,510792.159707
YZV,YWK,302909.799548
JIB,DXB,1992404.2756
JIB,JED,1204445.81112
JIB,MGQ,1086077.56257
MGQ,NBO,1002408.66957
NBO,MGQ,1002408.66957
BKK,SIN,1416908.66688
DRW,SIN,3338351.09064
HAK,SIN,2182823.8917
HGH,SIN,3650036.41296
HKG,SIN,2565540.24298
HKT,SIN,980254.662485
KIX,MNL,2635486.62689
KIX,TPE,1703417.8897
KUL,SIN,297520.718244
MNL,KIX,2635486.62689
MNL,SIN,2374781.62702
PEN,SIN,602372.391428
PER,SIN,3910749.63855
PNH,SIN,1137654.19323
REP,SIN,1341212.77407
RGN,SIN,1931929.92756
SGN,SIN,1092999.40085
SIN,BKK,1416908.66688
SIN,DRW,3338351.09064
SIN,HAK,2182823.8917
SIN,HGH,3650036.41296
SIN,HKG,2565540.24298
SIN,HKT,980254.662485
SIN,KUL,297520.718244
SIN,MNL,2374781.62702
SIN,PEN,602372.391428
SIN,PER,3910749.63855
SIN,PNH,1137654.19323
SIN,REP,1341212.77407
SIN,RGN,1931929.92756
SIN,SGN,1092999.40085
SIN,SWA,2807733.59465
SIN,TPE,3222348.13606
SWA,SIN,2807733.59465
TPE,KIX,1703417.8897
TPE,SIN,3222348.13606
